datetime,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_9,ema_21,rsi,rsi_signal,macd,macd_signal,macd_hist,macd_cross,bb_upper,bb_middle,bb_lower,bb_width,bb_pct,atr,trend,pattern,engulfing,star_pattern
2026-06-13 14:00:00,1.1567,1.1568,1.1566,1.1566,56642.2,,,,,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,none,none,none
2026-06-13 14:15:00,1.1566,1.1567,1.1566,1.1566,33832.1,,,,,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,doji,none,none
2026-06-13 14:30:00,1.1566,1.1568,1.1566,1.1568,41208.8,,,,,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,none,none,morning_star
2026-06-13 14:45:00,1.1568,1.1569,1.1566,1.1569,74234.9,,,,,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,none,none,none
2026-06-13 15:00:00,1.1568,1.1569,1.1568,1.1568,75517.2,,,,,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,doji,none,none
2026-06-13 15:15:00,1.1568,1.1569,1.1567,1.1567,113669.8,,,,,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,none,none,evening_star
2026-06-13 15:30:00,1.1567,1.1569,1.1567,1.1568,61273.5,,,,,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,none,none,none
2026-06-13 15:45:00,1.1568,1.1569,1.1568,1.1569,86863.5,,,,,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,none,none,none
2026-06-13 16:00:00,1.1569,1.1569,1.1567,1.1568,66083.8,,,,1.1567703705600003,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,none,none,none
2026-06-13 16:15:00,1.1568,1.1569,1.1567,1.1569,82751.1,,,,1.1567962964480003,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,none,none,none
2026-06-13 16:30:00,1.1569,1.1569,1.1567,1.1569,55122.2,,,,1.1568170371584003,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,doji,none,none
2026-06-13 16:45:00,1.1569,1.1569,1.1566,1.1566,169211.7,,,,1.1567736297267204,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,none,none,evening_star
2026-06-13 17:00:00,1.1567,1.1567,1.1566,1.1566,59014.7,,,,1.1567389037813764,,,unknown,,,,bearish_cross,,,,,,0.0,sideways,none,none,none
2026-06-13 17:15:00,1.1566,1.1567,1.1565,1.1565,48573.8,,,,1.1566911230251011,,38.47607707726966,bearish_zone,,,,bearish_cross,,,,,,0.00018571428571426525,sideways,none,none,none
2026-06-13 17:30:00,1.1566,1.1567,1.1565,1.1565,54987.8,,,,1.156652898420081,,38.47607707726966,bearish_zone,,,,bearish_cross,,,,,,0.00018673469387753047,sideways,none,none,none
2026-06-13 17:45:00,1.1565,1.1566,1.1564,1.1565,64125.9,,,,1.156622318736065,,38.47607707726966,bearish_zone,,,,bearish_cross,,,,,,0.0001876822157434196,sideways,doji,none,none
2026-06-13 18:00:00,1.1566,1.1566,1.1565,1.1566,53678.3,,,,1.156617854988852,,46.21165935497141,neutral,,,,bearish_cross,,,,,,0.00018141920033317455,sideways,doji,none,none
2026-06-13 18:15:00,1.1566,1.1568,1.1565,1.1566,52846.3,,,,1.1566142839910816,,46.21165935497141,neutral,,,,bearish_cross,,,,,,0.00018988925745223114,sideways,doji,none,none
2026-06-13 18:30:00,1.1567,1.1567,1.1566,1.1567,17962.4,,,,1.1566314271928653,,53.05691929378861,neutral,,,,bearish_cross,,,,,,0.0001834685962056424,sideways,doji,none,none
2026-06-13 18:45:00,1.1567,1.1568,1.1565,1.1567,45499.3,1.1567,,,1.1566451417542922,,53.05691929378861,neutral,,,,bearish_cross,1.156975680975042,1.1567,1.1564243190249581,0.04766680643934234,0.5,0.00019179226790523699,sideways,doji,none,none
2026-06-13 19:00:00,1.1566,1.1567,1.1566,1.1566,29709.3,1.1567,,,1.1566361134034338,1.1566536901325106,46.233145707071266,neutral,,,,bearish_cross,1.156975680975042,1.1567,1.1564243190249581,0.04766680643934234,0.3186309374726039,0.0001852356773405764,sideways,doji,none,none
2026-06-13 19:15:00,1.1567,1.1567,1.1566,1.1567,23187.6,1.156705,,,1.156648890722747,1.1566579001204642,52.774184549078136,neutral,,,,bearish_cross,1.1569768455443814,1.156705,1.1564331544556188,0.04700343551403522,0.4908036013402166,0.00017914741467339157,sideways,doji,none,none
2026-06-13 19:30:00,1.1566,1.1567,1.1565,1.1566,40805.4,1.1566950000000003,,,1.1566391125781976,1.1566526364731493,46.660958699576554,neutral,,,,bearish_cross,1.1569668455443818,1.1566950000000003,1.1564231544556187,0.047003841873879036,0.3252684254650746,0.00018063688505386204,sideways,doji,none,none
2026-06-13 19:45:00,1.1567,1.1567,1.1564,1.1564,107393.9,1.15667,,,1.1565912900625581,1.1566296695210447,37.34382396951114,bearish_zone,,,,bearish_cross,1.1569535489375753,1.15667,1.1563864510624249,0.04902849344674046,0.02389170929554339,0.00018916282183572669,sideways,none,none,none
2026-06-13 20:00:00,1.1564,1.1565,1.1563,1.1563,67256.7,1.1566450000000001,,,1.1565330320500466,1.1565996995645862,33.718463597592915,bearish_zone,,,,bearish_cross,1.1569642177939905,1.1566450000000001,1.1563257822060098,0.055197194297361106,-0.040383409845978706,0.00018993690599031606,sideways,none,none,none
2026-06-13 20:15:00,1.1563,1.1564,1.1562,1.1564,41035.1,1.15663,,,1.1565064256400372,1.1565815450587147,39.99218060479342,bearish_zone,-5.976698287435411e-05,,,bearish_cross,1.156965261092285,1.15663,1.1562947389077152,0.05797205541700933,0.1569837578938071,0.00019065569841959348,sideways,none,none,none
2026-06-13 20:30:00,1.1563,1.1564,1.1563,1.1563,42016.6,1.156605,,,1.1564651405120299,1.156555950053377,36.292734281188714,bearish_zone,-7.405900829682288e-05,,,bearish_cross,1.1569598238999843,1.156605,1.156250176100016,0.06135610687904727,0.07020933480864867,0.00018418029138962173,sideways,doji,none,none
2026-06-13 20:45:00,1.1563,1.1564,1.1563,1.1563,27821.5,1.1565750000000001,,,1.156432112409624,1.1565326818667065,36.292734281188714,bearish_zone,-8.441248680979285e-05,,,bearish_cross,1.1569264256678162,1.1565750000000001,1.156223574332184,0.06077006122665569,0.10873660465812272,0.0001781674134332194,sideways,doji,none,none
2026-06-13 21:00:00,1.1563,1.1565,1.1562,1.1562,30777.8,1.156545,,,1.1563856899276992,1.1565024380606421,32.77638458221631,bearish_zone,-9.953942881479882e-05,,,bearish_cross,1.1569163488925527,1.156545,1.1561736511074472,0.06421693795792598,0.03547727363824723,0.00018686974104514578,sideways,none,none,none
2026-06-13 21:15:00,1.1563,1.1564,1.1562,1.1564,17882.8,1.15652,,,1.1563885519421593,1.1564931255096746,44.382757083121916,bearish_zone,-9.430225313433738e-05,,,bearish_cross,1.156858230690506,1.15652,1.156181769309494,0.0584911096230036,0.3226062812035443,0.00018780761668479252,sideways,none,none,none
2026-06-13 21:30:00,1.1564,1.1565,1.1562,1.1565,120268.1,1.1564999999999999,,,1.1564108415537275,1.1564937504633406,49.11352551172664,neutral,-8.11471752861781e-05,,,bearish_cross,1.156789827534924,1.1564999999999999,1.1562101724650757,0.05012149328562478,0.500000000000383,0.00019582135835017798,sideways,hammer,none,none
2026-06-13 21:45:00,1.1565,1.1566,1.1564,1.1565,33404.6,1.156495,,,1.156428673242982,1.1564943186030368,49.11352551172665,neutral,-6.991573622805447e-05,,,bearish_cross,1.1567811817604254,1.156495,1.1562088182395747,0.04949122312251861,0.5087357069727306,0.00019611983275373513,sideways,doji,none,none
2026-06-13 22:00:00,1.1565,1.1565,1.1563,1.1564,31086.7,1.1564850000000002,,,1.1564229385943858,1.1564857441845788,44.703573703493454,bearish_zone,-6.829662316309992e-05,,,bearish_cross,1.1567697806173185,1.1564850000000002,1.156200219382682,0.04924934042694752,0.35076231521559204,0.0001963969875570382,sideways,none,none,evening_star
2026-06-13 22:15:00,1.1564,1.1564,1.1563,1.1564,20764.2,1.15648,,,1.1564183508755086,1.156477949258708,44.70357370349345,bearish_zone,-6.62497781898086e-05,-7.324389806344554e-05,6.994119873636944e-06,bullish_cross,1.1567670540018884,1.15648,1.1561929459981115,0.04964270923637982,0.3606533971420677,0.0001895114884458204,sideways,doji,none,none
2026-06-13 22:30:00,1.1564,1.1564,1.1562,1.1563,25096.7,1.15647,,,1.1563946807004069,1.156461772053371,40.4873692854849,bearish_zone,-7.186834947092713e-05,-7.296878834494187e-05,1.100438874014739e-06,bullish_cross,1.1567673213749468,1.15647,1.1561726786250535,0.05141877868801548,0.21411406255182697,0.0001902606678425618,sideways,none,none,none
2026-06-13 22:45:00,1.1563,1.1564,1.1562,1.1563,40547.9,1.15646,,,1.1563757445603255,1.1564470655030645,40.48736928548491,bearish_zone,-7.545135147757343e-05,-7.346530097146818e-05,-1.986050506105243e-06,bearish_cross,1.156765941170816,1.15646,1.156154058829184,0.05290994428098658,0.2385118198161822,0.00019095633442525026,sideways,doji,none,none
2026-06-13 23:00:00,1.1563,1.1563,1.1562,1.1563,19136.6,1.1564450000000002,,,1.1563605956482605,1.1564336959118768,40.48736928548491,bearish_zone,-7.739870232081891e-05,-7.425198124133834e-05,-3.1467210794805766e-06,bearish_cross,1.1567514310689215,1.1564450000000002,1.1561385689310788,0.05299535540754025,0.263405191728011,0.0001844594533948903,sideways,doji,none,none
2026-06-13 23:15:00,1.1563,1.1564,1.1562,1.1563,28854.6,1.1564299999999998,,,1.1563484765186085,1.1564215417380699,40.48736928548491,bearish_zone,-7.804236805464271e-05,-7.50100586039992e-05,-3.0323094506435027e-06,bearish_cross,1.1567339736830717,1.1564299999999998,1.156126026316928,0.05257104763312778,0.2861656991388356,0.00018556949243812672,sideways,doji,none,none
2026-06-13 23:30:00,1.1563,1.1564,1.1562,1.1562,31321.2,1.1564050000000001,,,1.1563187812148867,1.1564014015800634,35.929430548513125,bearish_zone,-8.563450083132196e-05,-7.713494704946376e-05,-8.499553781858194e-06,bearish_cross,1.1566980870177956,1.1564050000000001,1.1561119129822046,0.05068933769665688,0.15027451310848958,0.0001866002429782748,sideways,none,none,none
2026-06-13 23:45:00,1.1563,1.1564,1.1562,1.1563,21510.4,1.156385,,,1.1563150249719094,1.1563921832546031,42.8572241665825,bearish_zone,-8.262965328209582e-05,-7.823388829599019e-05,-4.395764986105631e-06,bearish_cross,1.1566478687885624,1.156385,1.1561221312114376,0.04546388764337297,0.33832238040745877,0.00018755736847984089,sideways,doji,none,none
2026-06-14 00:00:00,1.1564,1.1564,1.1562,1.1563,27091.6,1.1563700000000001,,,1.1563120199775276,1.1563838029587301,42.8572241665825,bearish_zone,-7.93337795237381e-05,-7.845386654153978e-05,-8.799129821983223e-07,bearish_cross,1.1566157641145496,1.1563700000000001,1.1561242358854507,0.04250613809584521,0.35758701971534934,0.00018844612787415226,sideways,none,none,none
2026-06-14 00:15:00,1.1562,1.1564,1.1562,1.1563,22402.3,1.1563500000000002,,,1.156309615982022,1.1563761845079366,42.8572241665825,bearish_zone,-7.584745359312528e-05,-7.793258395185688e-05,2.0851303587315993e-06,bullish_cross,1.1565449358868969,1.1563500000000002,1.1561550641131035,0.033715723941137955,0.37175270598941085,0.00018927140445458424,sideways,none,none,none
2026-06-14 00:30:00,1.1563,1.1564,1.1562,1.1564,24280.5,1.15634,,,1.1563276927856179,1.1563783495526696,49.656102121364015,neutral,-6.427443523082665e-05,-7.520095420765084e-05,1.0926518976824186e-05,bullish_cross,1.1565000000000005,1.15634,1.1561799999999993,0.027673521628691234,0.6874999999998266,0.0001900377327078425,sideways,none,none,none
2026-06-14 00:45:00,1.1564,1.1564,1.1563,1.1564,14181.7,1.1563400000000001,,,1.1563421542284944,1.1563803177751542,49.656102121364015,neutral,-5.447478340592227e-05,-7.105572004730514e-05,1.658093664138287e-05,bullish_cross,1.1565000000000007,1.1563400000000001,1.1561799999999995,0.027673521628691227,0.6874999999991327,0.00018360646608585294,sideways,doji,none,none
2026-06-14 01:00:00,1.1564,1.1564,1.1563,1.1564,22229.3,1.156345,,,1.1563537233827956,1.156382107068322,49.656102121364015,neutral,-4.6176198262193324e-05,-6.607981569028278e-05,1.9903617428089452e-05,bullish_cross,1.156505934769395,1.156345,1.156184065230605,0.02783507852672656,0.6708766856500935,0.00017763457565114836,sideways,doji,none,none
2026-06-14 01:15:00,1.1564,1.1565,1.1563,1.1565,14439.0,1.1563500000000002,,,1.1563829787062365,1.1563928246075654,56.16948405230366,bullish_zone,-3.117102530580951e-05,-5.909805761338812e-05,2.7927032307578615e-05,bullish_cross,1.1565232050807577,1.1563500000000002,1.1561767949192427,0.02995720685907655,0.9330127018904057,0.00017923210596177907,sideways,none,none,none
2026-06-14 01:30:00,1.1565,1.1565,1.1563,1.1564,32871.9,1.156355,,,1.1563863829649894,1.1563934769159685,49.30045548785344,neutral,-2.7036818285308684e-05,-5.268580974777224e-05,2.5648991462463557e-05,bullish_cross,1.1565279161646587,1.156355,1.1561820838353414,0.02990710718743691,0.6301208596920597,0.00018071552696450756,sideways,none,none,none
2026-06-14 01:45:00,1.1564,1.1564,1.1563,1.1564,19353.8,1.15636,,,1.1563891063719915,1.1563940699236077,49.30045548785344,neutral,-2.3489655311736968e-05,-4.6846578860565186e-05,2.3356923548828218e-05,bullish_cross,1.1565320465053417,1.15636,1.1561879534946584,0.02975656462375708,0.6162476387434044,0.00017495013218132765,sideways,doji,none,none
2026-06-14 02:00:00,1.1564,1.1564,1.1563,1.1564,20132.2,1.1563700000000001,,,1.1563912850975933,1.1563946090214616,49.30045548785344,neutral,-2.0442850642288235e-05,-4.15658332169098e-05,2.1122982574621566e-05,bullish_cross,1.156526204993519,1.1563700000000001,1.1562137950064812,0.0270164382539968,0.5960276599491364,0.00016959655131123204,sideways,doji,none,none
2026-06-14 02:15:00,1.1564,1.1565,1.1563,1.1565,13671.6,1.1563750000000002,1.156514,,1.1564130280780747,1.1564041900195106,56.01817925928751,bullish_zone,-9.845578030631685e-06,-3.5221782179654177e-05,2.537620414902249e-05,bullish_cross,1.1565408312395187,1.1563750000000002,1.1562091687604816,0.028681221838680583,0.8768891807202881,0.00017176822621757103,sideways,none,none,none
2026-06-14 02:30:00,1.1565,1.1565,1.1563,1.1565,19993.0,1.1563750000000002,1.1565120000000002,,1.1564304224624598,1.1564129000177368,56.01817925928751,bullish_zone,-1.4306712488032503e-06,-2.8463559993483993e-05,2.7032888744680742e-05,bullish_cross,1.1565408312395187,1.1563750000000002,1.1562091687604816,0.028681221838680583,0.8768891807202881,0.00017378478148774294,sideways,doji,none,none
